Flight,Equipment Name,Origin Code,Destination Code,Dep Time,Arr Time,Date
FD  3021,(FD)  320,BKK,HKT,0845,1005,24/3/2559
FD  3022,(FD)  320,HKT,BKK,0655,0815,24/3/2559
FD  3023,(FD)  320,BKK,HKT,0750,0920,24/3/2559
FD  3024,(FD)  320,HKT,BKK,1430,1550,24/3/2559
FD  3025,(FD)  320,BKK,HKT,1050,1215,24/3/2559
FD  3026,(FD)  320,HKT,BKK,1250,1410,24/3/2559
FD  3027,(FD)  320,BKK,HKT,1330,1445,24/3/2559
FD  3028,(FD)  320,HKT,BKK,1515,1635,24/3/2559
FD  3029,(FD)  320,BKK,HKT,1440,1600,24/3/2559
FD  3030,(FD)  320,HKT,BKK,1630,1755,24/3/2559
FD  3031,(FD)  320,BKK,HKT,1900,2020,24/3/2559
FD  3032,(FD)  320,HKT,BKK,2100,2220,24/3/2559
FD  3033,(FD)  320,BKK,HKT,2035,2155,24/3/2559
FD  3034,(FD)  320,HKT,BKK,2225,2345,24/3/2559
FD  3035,(FD)  320,BKK,HKT,2120,2240,24/3/2559
FD  3036,(FD)  320,HKT,BKK,2310,0030,24/3/2559
FD  3037,(FD)  320,BKK,HKT,1615,1735,24/3/2559
FD  3038,(FD)  320,HKT,BKK,1805,1925,24/3/2559
FD  3131,(FD)  320,BKK,HDY,0630,0800,24/3/2559
FD  3132,(FD)  320,HDY,BKK,0830,1000,24/3/2559
FD  3133,(FD)  320,BKK,HDY,1025,1150,24/3/2559
FD  3134,(FD)  320,HDY,BKK,1230,1400,24/3/2559
FD  3135,(FD)  320,BKK,HDY,1210,1330,24/3/2559
FD  3136,(FD)  320,HDY,BKK,1400,1525,24/3/2559
FD  3139,(FD)  320,BKK,HDY,1735,1855,24/3/2559
FD  3140,(FD)  320,HDY,BKK,1925,2050,24/3/2559
FD  3141,(FD)  320,BKK,HDY,2000,2120,24/3/2559
FD  3142,(FD)  320,HDY,BKK,2150,2325,24/3/2559
FD  3143,(FD)  320,BKK,HDY,1435,1600,24/3/2559
FD  3144,(FD)  320,HDY,BKK,1645,1810,24/3/2559
FD  3151,(FD)  320,BKK,NAW,1030,1200,24/3/2559
FD  3152,(FD)  320,NAW,BKK,1225,1350,24/3/2559
FD  3163,(FD)  320,BKK,KBV,1015,1140,24/3/2559
FD  3164,(FD)  320,KBV,BKK,1205,1325,24/3/2559
FD  3165,(FD)  320,BKK,KBV,1445,1600,24/3/2559
FD  3166,(FD)  320,KBV,BKK,1630,1800,24/3/2559
FD  3167,(FD)  320,BKK,KBV,1715,1835,24/3/2559
FD  3168,(FD)  320,KBV,BKK,1910,2030,24/3/2559
FD  3169,(FD)  320,BKK,KBV,0635,0800,24/3/2559
FD  3170,(FD)  320,KBV,BKK,0910,1030,24/3/2559
FD  3181,(FD)  320,BKK,URT,0700,0810,24/3/2559
FD  3182,(FD)  320,URT,BKK,0845,0955,24/3/2559
FD  3183,(FD)  320,BKK,URT,1420,1525,24/3/2559
FD  3184,(FD)  320,URT,BKK,1555,1705,24/3/2559
FD  3191,(FD)  320,BKK,TST,0920,1040,24/3/2559
FD  3192,(FD)  320,TST,BKK,1125,1245,24/3/2559
FD  3200,(FD)  320,BKK,NST,0700,0815,24/3/2559
FD  3201,(FD)  320,NST,BKK,0840,0955,24/3/2559
FD  3204,(FD)  320,BKK,NST,1435,1550,24/3/2559
FD  3205,(FD)  320,NST,BKK,1615,1725,24/3/2559
FD  3230,(FD)  320,BKK,CNX,0640,0755,24/3/2559
FD  3231,(FD)  320,CNX,BKK,0825,0940,24/3/2559
FD  3232,(FD)  320,BKK,CNX,1030,1140,24/3/2559
FD  3233,(FD)  320,CNX,BKK,1205,1320,24/3/2559
FD  3234,(FD)  320,BKK,CNX,1250,1400,24/3/2559
FD  3235,(FD)  320,CNX,BKK,1435,1545,24/3/2559
FD  3236,(FD)  320,BKK,CNX,1550,1700,24/3/2559
FD  3237,(FD)  320,CNX,BKK,1730,1840,24/3/2559
FD  3238,(FD)  320,BKK,CNX,1815,1925,24/3/2559
FD  3239,(FD)  320,CNX,BKK,1955,2105,24/3/2559
FD  3240,(FD)  320,BKK,CNX,2100,2210,24/3/2559
FD  3241,(FD)  320,CNX,BKK,2240,2350,24/3/2559
FD  3242,(FD)  320,BKK,CNX,1455,1605,24/3/2559
FD  3243,(FD)  320,CNX,BKK,1635,1745,24/3/2559
FD  3250,(FD)  320,BKK,CEI,0645,0805,24/3/2559
FD  3251,(FD)  320,CEI,BKK,0850,1010,24/3/2559
FD  3254,(FD)  320,BKK,CEI,1135,1255,24/3/2559
FD  3255,(FD)  320,CEI,BKK,1335,1455,24/3/2559
FD  3256,(FD)  320,BKK,CEI,1910,2030,24/3/2559
FD  3257,(FD)  320,CEI,BKK,2115,2235,24/3/2559
FD  3270,(FD)  320,BKK,KOP,1320,1435,24/3/2559
