Flight,Equipment Name,Origin Code,Destination Code,Dep Time,Arr Time,Date
PG   100,(PG)  319,USM,BKK,0600,0705,24/3/2559
PG   103,(PG)  319,BKK,USM,0600,0705,24/3/2559
PG   104,(PG)  319,USM,BKK,0745,0850,24/3/2559
PG   121,(PG)  319,BKK,USM,0730,0835,24/3/2559
PG   122,(PG)  319,USM,BKK,0915,1020,24/3/2559
PG   123,(PG)  319,BKK,USM,0815,0920,24/3/2559
PG   127,(PG)  AT7,BKK,USM,0830,1000,24/3/2559
PG   128,(PG)  AT7,USM,BKK,1030,1200,24/3/2559
PG   129,(PG)  AT7,BKK,USM,0900,1030,24/3/2559
PG   133,(PG)  319,BKK,USM,1100,1205,24/3/2559
PG   134,(PG)  319,USM,BKK,1245,1350,24/3/2559
PG   138,(PG)  AT7,USM,BKK,1400,1530,24/3/2559
PG   139,(PG)  AT7,BKK,USM,1215,1345,24/3/2559
PG   140,(PG)  AT7,USM,BKK,1415,1545,24/3/2559
PG   141,(PG)  319,BKK,USM,1130,1235,24/3/2559
PG   142,(PG)  319,USM,BKK,1315,1420,24/3/2559
PG   144,(PG)  319,USM,BKK,1425,1530,24/3/2559
PG   168,(PG)  AT7,USM,BKK,1740,1910,24/3/2559
PG   171,(PG)  AT7,BKK,USM,1620,1750,24/3/2559
PG   172,(PG)  AT7,USM,BKK,1825,1955,24/3/2559
PG   175,(PG)  AT7,BKK,USM,1845,2015,24/3/2559
PG   176,(PG)  AT7,USM,BKK,2045,2210,24/3/2559
PG   178,(PG)  AT7,USM,BKK,1900,2030,24/3/2559
PG   179,(PG)  319,BKK,USM,1630,1735,24/3/2559
PG   180,(PG)  319,USM,BKK,1815,1920,24/3/2559
PG   187,(PG)  AT7,BKK,USM,2015,2145,24/3/2559
PG   188,(PG)  AT7,USM,BKK,2030,2200,24/3/2559
PG   191,(PG)  319,BKK,USM,2000,2105,24/3/2559
PG   192,(PG)  319,USM,BKK,2145,2250,24/3/2559
PG   199,(PG)  319,BKK,USM,2100,2200,24/3/2559
PG   203,(PG)  AT7,BKK,LPT,0620,0750,24/3/2559
PG   204,(PG)  AT7,LPT,BKK,0820,0950,24/3/2559
PG   205,(PG)  AT7,BKK,LPT,1600,1730,24/3/2559
PG   206,(PG)  AT7,LPT,BKK,1800,1930,24/3/2559
PG   211,(PG)  AT7,BKK,THS,0700,0815,24/3/2559
PG   212,(PG)  AT7,THS,BKK,0845,1000,24/3/2559
PG   213,(PG)  AT7,BKK,THS,1515,1630,24/3/2559
PG   214,(PG)  AT7,THS,BKK,1700,1815,24/3/2559
PG   215,(PG)  320,BKK,CNX,0805,0920,24/3/2559
PG   216,(PG)  320,CNX,BKK,1010,1130,24/3/2559
PG   216,(PG)  AT7,BKK,USM,1230,1400,24/3/2559
PG   217,(PG)  319,USM,BKK,1000,1105,24/3/2559
PG   217,(PG)  319,BKK,CNX,1210,1325,24/3/2559
PG   218,(PG)  319,CNX,BKK,1410,1530,24/3/2559
PG   219,(PG)  319,BKK,CNX,1700,1815,24/3/2559
