Flight,Equipment Name,Origin Code,Destination Code,Dep Time,Arr Time,Date
DD   955,(DD)  SF3,CNX,UTH,1120,1240,24/3/2559
DD   956,(DD)  SF3,UTH,CNX,1300,1420,24/3/2559
DD  1300,(DD)  SF3,BKK,NNT,0730,0910,24/3/2559
DD  7102,(DD)  734,BKK,HDY,0615,0740,24/3/2559
DD  7103,(DD)  734,HDY,BKK,0810,0935,24/3/2559
DD  7104,(DD)  738,BKK,HDY,0920,1045,24/3/2559
DD  7105,(DD)  738,HDY,BKK,1115,1240,24/3/2559
DD  7110,(DD)  734,BKK,HDY,1310,1435,24/3/2559
DD  7111,(DD)  734,HDY,BKK,1505,1630,24/3/2559
DD  7112,(DD)  734,BKK,HDY,1510,1635,24/3/2559
DD  7113,(DD)  734,HDY,BKK,1705,1830,24/3/2559
DD  7114,(DD)  734,BKK,HDY,1734,1855,24/3/2559
DD  7115,(DD)  734,HDY,BKK,1925,2050,24/3/2559
DD  7116,(DD)  738,BKK,HDY,2000,2125,24/3/2559
DD  7117,(DD)  738,HDY,BKK,2155,2320,24/3/2559
DD  7162,(DD)  734,BKK,HDY,1730,1855,24/3/2559
DD  7208,(DD)  738,BKK,URT,0630,0740,24/3/2559
DD  7209,(DD)  738,URT,BKK,0810,0920,24/3/2559
DD  7212,(DD)  734,BKK,URT,1130,1240,24/3/2559
DD  7213,(DD)  734,URT,BKK,1310,1420,24/3/2559
DD  7220,(DD)  734,BKK,URT,1910,2020,24/3/2559
DD  7221,(DD)  734,URT,BKK,2050,2200,24/3/2559
DD  7258,(DD)  734,BKK,URT,0730,0840,24/3/2559
DD  7270,(DD)  734,BKK,URT,1935,2045,24/3/2559
DD  7271,(DD)  734,URT,BKK,2115,2225,24/3/2559
DD  7400,(DD)  734,BKK,TST,0734,0850,24/3/2559
DD  7401,(DD)  734,TST,BKK,0920,1040,24/3/2559
DD  7410,(DD)  734,BKK,TST,1510,1630,24/3/2559
DD  7411,(DD)  734,TST,BKK,1700,1820,24/3/2559
DD  7450,(DD)  734,BKK,TST,0730,0850,24/3/2559
DD  7502,(DD)  738,BKK,HKT,1010,1130,24/3/2559
DD  7503,(DD)  738,HKT,BKK,1200,1320,24/3/2559
DD  7552,(DD)  734,BKK,HKT,0945,1105,24/3/2559
DD  7553,(DD)  734,HKT,BKK,1135,1255,24/3/2559
DD  7804,(DD)  734,BKK,NST,0600,0710,24/3/2559
DD  7805,(DD)  734,NST,BKK,0740,0850,24/3/2559
DD  7808,(DD)  734,BKK,NST,0940,1050,24/3/2559
DD  7809,(DD)  734,NST,BKK,1120,1230,24/3/2559
DD  7810,(DD)  734,BKK,NST,1415,1525,24/3/2559
DD  7811,(DD)  734,NST,BKK,1555,1705,24/3/2559
DD  7814,(DD)  734,BKK,NST,1755,1905,24/3/2559
DD  7815,(DD)  734,NST,BKK,1935,2045,24/3/2559
DD  7822,(DD)  734,BKK,NST,2000,2110,24/3/2559
DD  7823,(DD)  734,NST,BKK,2140,2250,24/3/2559
DD  7862,(DD)  734,BKK,NST,1420,1530,24/3/2559
DD  7863,(DD)  734,NST,BKK,1600,1710,24/3/2559
DD  7864,(DD)  734,BKK,NST,1915,2025,24/3/2559
DD  7865,(DD)  734,NST,BKK,2055,2205,24/3/2559
DD  8116,(DD)  SF3,BKK,MAQ,1110,1225,24/3/2559
DD  8117,(DD)  SF3,MAQ,BKK,1245,1400,24/3/2559
DD  8202,(DD)  AT7,CNX,HGN,1105,1140,24/3/2559
DD  8203,(DD)  AT7,HGN,CNX,1210,1245,24/3/2559
DD  8208,(DD)  AT7,CNX,HGN,1505,1540,24/3/2559
DD  8209,(DD)  AT7,HGN,CNX,1610,1645,24/3/2559
DD  8224,(DD)  SF3,PHS,CNX,1000,1100,24/3/2559
DD  8225,(DD)  SF3,CNX,PHS,1440,1540,24/3/2559
DD  8304,(DD)  738,BKK,CNX,0715,0825,24/3/2559
DD  8305,(DD)  738,CNX,BKK,0855,1000,24/3/2559
DD  8306,(DD)  738,BKK,CNX,0920,1030,24/3/2559
DD  8307,(DD)  738,CNX,BKK,1100,1205,24/3/2559
DD  8312,(DD)  738,BKK,CNX,1250,1400,24/3/2559
DD  8313,(DD)  738,CNX,BKK,1430,1535,24/3/2559
DD  8316,(DD)  738,BKK,CNX,1415,1525,24/3/2559
DD  8317,(DD)  738,CNX,BKK,1555,1700,24/3/2559
DD  8318,(DD)  738,BKK,CNX,1620,1734,24/3/2559
DD  8319,(DD)  738,CNX,BKK,1800,1905,24/3/2559
DD  8324,(DD)  738,BKK,CNX,1835,1945,24/3/2559
DD  8325,(DD)  738,CNX,BKK,2020,2125,24/3/2559
DD  8326,(DD)  738,BKK,CNX,1955,2105,24/3/2559
DD  8327,(DD)  738,CNX,BKK,2135,2240,24/3/2559
DD  8368,(DD)  734,BKK,CNX,1600,1710,24/3/2559
DD  8369,(DD)  734,CNX,BKK,1740,1845,24/3/2559
DD  8378,(DD)  738,BKK,CNX,2000,2110,24/3/2559
DD  8379,(DD)  738,CNX,BKK,2140,2245,24/3/2559
DD  8400,(DD)  734,BKK,PHS,0620,0710,24/3/2559
DD  8401,(DD)  734,PHS,BKK,0740,0830,24/3/2559
DD  8404,(DD)  SF3,BKK,PHS,0830,0940,24/3/2559
DD  8405,(DD)  SF3,PHS,BKK,1600,1710,24/3/2559
DD  8412,(DD)  734,BKK,PHS,1700,1750,24/3/2559
DD  8413,(DD)  734,PHS,BKK,1820,1910,24/3/2559
DD  8420,(DD)  AT7,BKK,PHS,2000,2110,24/3/2559
DD  8421,(DD)  AT7,PHS,BKK,2140,2250,24/3/2559
DD  8474,(DD)  734,BKK,PHS,1645,1735,24/3/2559
DD  8475,(DD)  734,PHS,BKK,1805,1855,24/3/2559
DD  8610,(DD)  AT7,CNX,UTH,0725,0845,24/3/2559
DD  8611,(DD)  AT7,UTH,CNX,0915,1035,24/3/2559
DD  8624,(DD)  AT7,CNX,UTH,1750,1910,24/3/2559
DD  8625,(DD)  AT7,UTH,CNX,1940,2100,24/3/2559
DD  8714,(DD)  734,BKK,CEI,0920,1035,24/3/2559
DD  8715,(DD)  734,CEI,BKK,1105,1220,24/3/2559
DD  8722,(DD)  738,BKK,CEI,1410,1525,24/3/2559
DD  8723,(DD)  738,CEI,BKK,1555,1710,24/3/2559
DD  8764,(DD)  734,BKK,CEI,1525,1640,24/3/2559
DD  8765,(DD)  734,CEI,BKK,1710,1825,24/3/2559
DD  8818,(DD)  SF3,BKK,NNT,0734,0910,24/3/2559
DD  8819,(DD)  SF3,NNT,BKK,0930,1110,24/3/2559
DD  8830,(DD)  SF3,BKK,NNT,1540,1720,24/3/2559
DD  8831,(DD)  SF3,NNT,BKK,1740,1920,24/3/2559
DD  9114,(DD)  SF3,BKK,ROI,0750,0905,24/3/2559
DD  9115,(DD)  SF3,ROI,BKK,0925,1040,24/3/2559
DD  9200,(DD)  738,BKK,UTH,0600,0705,24/3/2559
DD  9201,(DD)  738,UTH,BKK,0735,0835,24/3/2559
DD  9202,(DD)  734,BKK,UTH,1050,1155,24/3/2559
DD  9203,(DD)  734,UTH,BKK,1225,1325,24/3/2559
DD  9210,(DD)  738,BKK,UTH,1320,1425,24/3/2559
DD  9211,(DD)  738,UTH,BKK,1455,1555,24/3/2559
DD  9216,(DD)  738,BKK,UTH,1640,1745,24/3/2559
DD  9217,(DD)  738,UTH,BKK,1815,1915,24/3/2559
DD  9218,(DD)  734,BKK,UTH,1910,2015,24/3/2559
DD  9219,(DD)  734,UTH,BKK,2045,2145,24/3/2559
DD  9266,(DD)  738,BKK,UTH,1630,1735,24/3/2559
DD  9267,(DD)  738,UTH,BKK,1805,1905,24/3/2559
DD  9310,(DD)  738,BKK,UBP,0600,0705,24/3/2559
DD  9311,(DD)  738,UBP,BKK,0735,0835,24/3/2559
DD  9314,(DD)  734,BKK,UBP,1155,1300,24/3/2559
DD  9315,(DD)  734,UBP,BKK,1330,1430,24/3/2559
DD  9318,(DD)  738,BKK,UBP,1820,1925,24/3/2559
DD  9319,(DD)  738,UBP,BKK,1955,2055,24/3/2559
DD  9402,(DD)  AT7,BKK,SNO,0930,1100,24/3/2559
DD  9403,(DD)  AT7,SNO,BKK,1130,1300,24/3/2559
DD  9514,(DD)  734,BKK,KOP,0820,0930,24/3/2559
DD  9515,(DD)  734,KOP,BKK,1000,1110,24/3/2559
DD  9520,(DD)  AT7,BKK,KOP,1350,1530,24/3/2559
DD  9521,(DD)  AT7,KOP,BKK,1600,1740,24/3/2559
DD  9704,(DD)  SF3,BKK,LOE,1145,1300,24/3/2559
DD  9705,(DD)  SF3,LOE,BKK,1320,1435,24/3/2559
